school,park,mrt,rob,publand,robbery,urban_proj,monitor,idle,DistanceType1_School,DistanceType1_Park,DistanceType1_MRT,DistanceType1_ROB,DistanceType2_School,DistanceType2_Park,DistanceType2_MRT,DistanceType2_ROB,MonitorType1,MonitorType2,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,output
0.09350230185,0.1540139578,0.6532047051,0.9658372612,32634930.67,3,5682.16,1300,379.25,True,True,True,True,True,True,True,True,False,False,0.009406578588535294,8,3,0.2251802411875,0.002307692307692308,25103.792823076925,25.876904771110446,True,1
0.102312436,0.3538503931,0.7085102149,0.7289640934,4852832.46,4,760.71,1869,368.2,True,True,True,True,True,True,True,True,True,True,0.025650404814807994,8,3,0.2329346088,0.002140181915462814,2596.4860674157303,21.36763511942086,True,1
0.05401143585,0.2242352797,0.9943041476,1.352300378,15745617.73,1,3150.9,1350,943.56,True,True,True,True,True,True,True,True,False,True,0.012042285421802931,8,3,0.636275431575,0.0007407407407407407,11663.42054074074,24.271616094825184,True,1
0.102148623,0.1656139123,0.3358895607,1.006969876,5953425.42,1,1120.77,1012,282.6,True,True,True,True,True,True,True,True,False,False,0.005682321991224972,8,3,0.301826048,0.0009881422924901185,5882.831442687747,22.33069825657978,True,1
0.1903340708,0.371459998,0.3179025901,0.6532900412,4852832.46,4,760.71,1869,368.2,True,True,True,True,True,True,True,True,True,True,0.022476187926249155,8,3,0.17593933178,0.002140181915462814,2596.4860674157303,21.36763511942086,True,1
0.2713606595,0.119000011,0.2951565679,3.265386887,15745617.73,1,3150.9,1350,943.56,True,True,True,True,True,True,True,True,False,True,0.009531172710643654,8,3,0.3427586192,0.0007407407407407407,11663.42054074074,24.271616094825184,True,1
0.4000364773,0.01431612054,0.6466010422,3.176427257,15745617.73,1,3150.9,1350,943.56,True,True,True,True,True,True,True,True,False,True,0.003703065048313994,8,3,0.5304768200200001,0.0007407407407407407,11663.42054074074,24.271616094825184,True,1
0.03300924712,0.2504414405,0.4618757616,2.668890752,11254761.59,1,3157.87,1370,0.0,True,True,True,True,True,True,True,True,False,True,0.0038182730657651907,8,3,0.37266322461,0.00072992700729927,8215.154445255474,24.29395487818688,True,1
0.0,0.02654714284,0.6335562328,3.615092573,7723327.91,4,1368.209961,1440,1361.68,True,True,True,True,True,True,True,True,False,True,0.0,8,3,0.132020675128,0.002777777777777778,5363.422159722222,17.736156876374665,True,1
0.09338128592,0.1813953211,0.159807814,1.155227474,4973385.2,0,928.78,1129,97.8,True,True,True,True,True,True,True,True,False,False,0.0027069731101875332,8,3,0.43458442102,0.0,4405.124180690877,22.14221702014896,True,1
0.5121116397,0.4489091671,1.242859207,2.017978504,5953425.42,1,1120.77,1012,282.6,True,True,True,True,True,True,True,True,False,False,0.2857229036530522,8,3,1.1019400069,0.0009881422924901185,5882.831442687747,22.33069825657978,True,1
0.03457216156,0.3006785154,0.8164886588,1.096019173,3740889.23,9,885.22,1009,0.0,True,True,True,True,True,True,True,True,False,False,0.008487486329143718,8,3,0.11517393357599999,0.008919722497522299,3707.52153617443,21.92067010484767,True,1
0.0713105845,0.1181677465,0.2076378685,1.28982056,7146045.27,1,1136.14,1851,139.95,True,True,True,True,True,True,True,True,True,True,0.0017496835616608618,8,3,0.19855809975,0.0005402485143165856,3860.6403403565637,22.68600765500187,True,1
0.1263208395,0.2118148579,0.3498412932,2.33737359,4973385.2,0,928.78,1129,97.8,True,True,True,True,True,True,True,True,False,False,0.009360574274743242,8,3,0.6879769906,0.0,4405.124180690877,22.14221702014896,True,1
0.09537488436,0.08119332483,0.6346508998,1.529552883,4973385.2,0,928.78,1129,97.8,True,True,True,True,True,True,True,True,False,False,0.004914612155191927,8,3,0.81121910899,0.0,4405.124180690877,22.14221702014896,True,1
0.399428667,0.5467461815,1.137256818,0.9598682365,3740889.23,9,885.22,1009,0.0,True,True,True,True,True,True,True,True,False,False,0.24836107943447264,8,3,0.20834316665000002,0.008919722497522299,3707.52153617443,21.92067010484767,True,1
