id,school name,Address,Response_Address,lng,lat
1405,新北市私立立大幼兒園,新北市新店區寶福里2鄰寶中路76號2樓,新北市新店區寶福里2鄰寶中路76號,121.548207,24.980547
1406,新北市私立立德幼兒園,新北市汐止區樟樹里6鄰中興路86之1號1、2樓,新北市汐止區樟樹里6鄰中興路86之1號,121.63477,25.062214
1407,新北市私立佳辰幼兒園,新北市蘆洲區玉清里14鄰民族路218號1、2、3樓,新北市蘆洲區玉清里14鄰民族路218號,121.479759,25.08783
1409,新北市私立寶貝媽咪幼兒園,新北市板橋區忠翠里22鄰莊敬路46號2樓之2,新北市板橋區忠翠里22鄰莊敬路46號,121.472686,25.027476
1410,新北市私立民安幼兒園,新北市新莊區光正里1鄰民安西路137號2樓及龍安路456號2樓,新北市新莊區光正里1鄰民安西路137號,121.426496,25.017363
1411,新北市私立捧馨園幼兒園,新北市板橋區重慶里4鄰國慶路126巷1號及3號1樓,新北市板橋區重慶里4鄰國慶路126巷1號,121.460819,24.995732
1412,新北市私立嘉穎幼兒園,新北市板橋區莒光里8鄰文化路二段92號1樓、92號2樓、92之1號1樓,新北市板橋區莒光里8鄰文化路二段92號,121.469903,25.025872
1413,新北市私立吉恩幼兒園,新北市土城區員仁里2鄰中央路二段392之1號1、2樓,新北市土城區員仁里2鄰中央路二段392之1號,121.439487,24.970936
1414,奇異林股份有限公司附設新北市私立奇異鳥麗林幼兒園,新北市林口區仁愛里29鄰公園路138號1樓、2樓、2樓之1,新北市林口區仁愛里29鄰公園路138號,121.371305,25.071518
1415,康橋學校財團法人新北市康橋高級中學附屬新北市私立康橋幼兒園,新北市新店區下城里3鄰頂城五街80號,新北市新店區下城里3鄰頂城五街80號,121.5179,24.953332
1416,新北市私立凱樂蒂幼兒園,新北市淡水區民權里16鄰民權路187巷34、36號1樓,新北市淡水區民權里6鄰民權路187巷93號,121.461398,25.134891
1417,新北市私立新邦仁幼兒園,新北市五股區福德里17鄰登林路81之52號1、2樓,新北市五股區福德里17鄰登林路81之52號,121.426592,25.070443
1418,天主教耕莘醫療財團法人附設新北市私立永和耕莘幼兒園,新北市永和區中興里14鄰竹林路66巷17之4號1樓至2樓,新北市永和區中興里14鄰竹林路66巷17之4號,121.517551,25.012869
1419,新北市私立永昇幼兒園,新北市土城區永豐里7鄰清水路214號、216號各1、2、3樓,新北市土城區永豐里7鄰清水路214號,121.460773,24.982002
1420,新北市私立仁愛幼兒園,新北市泰山區全興里14鄰仁愛路60號1樓,新北市泰山區全興里14鄰仁愛路60號,121.43205,25.054752
1421,新北市私立雅格幼兒園,新北市新店區安昌里1鄰安德街40號1、2樓,新北市新店區安昌里1鄰安德街40號,121.51139,24.962661
1422,新北市私立比佛利幼兒園,新北市泰山區全興里5鄰仁德路97巷2號1、2樓及105號1、2樓,新北市泰山區全興里5鄰仁德路97巷2號,121.433094,25.056158
1423,新北市私立寶貝媽咪資優幼兒園,新北市板橋區忠翠里22鄰莊敬路46號2樓之3,新北市板橋區忠翠里22鄰莊敬路46號,121.472686,25.027476
1424,新北市私立瑪莉亞蒙特梭利幼兒園,新北市三峽區龍學里32鄰大德路493號1樓(含夾層),新北市三峽區龍學里32鄰大德路493號,121.373842,24.948411
1425,新北市私立重新幼兒園,新北市三重區文化里14鄰重新路二段21號2樓,新北市三重區文化里14鄰重新路二段21號,121.498043,25.062408
1426,新北市私立幼親國際幼兒園,新北市三芝區埔頭里26鄰公正街30號2樓、公正街34號,新北市三芝區埔頭里26鄰公正街30號,121.500313,25.257714
1427,新北市私立傑安幼兒園,新北市新莊區文明里16鄰中正路161號1樓,新北市新莊區文明里16鄰中正路161號,121.455477,25.036594
1428,新北市私立艾力克幼兒園,新北市三重區長元里6鄰三和路2段37號3樓,新北市三重區長元里6鄰三和路二段37號,121.500812,25.067392
1429,新北市私立奇異鳥幼兒園,新北市新莊區四維里2鄰四維路19號3樓,新北市新莊區四維里2鄰四維路19號,121.423865,25.024
1430,新北市私立吉的堡南雅幼兒園,新北市板橋區新興里7鄰南雅南路一段40號2樓、2樓之1及3樓,新北市板橋區新興里7鄰南雅南路一段40號,121.455791,25.006149
1431,新北市私立艾維恩幼兒園,新北市樹林區柑園里8鄰大成路373號1、2、3樓,新北市樹林區柑園里8鄰大成路373號,121.381176,24.950016
1432,新北市私立天愛幼兒園,新北市板橋區福德里4鄰光明街120號1樓及2樓,新北市板橋區福德里4鄰光明街120號,121.463399,25.00287
1433,新北市私立育圃幼兒園,新北市永和區安和里4鄰中和路483號2樓、2樓之1,新北市永和區安和里4鄰中和路483號,121.510347,25.002013
1434,新北市私立智盛幼兒園,新北市林口區麗園里17鄰文化1路1段120號（1層）、2、3樓,新北市林口區麗園里17鄰文化一路一段120號,121.374388,25.071598
1435,新北市私立東橙幼兒園,新北市三峽區龍學里6鄰大德路70號1、2樓及72號2樓,新北市三峽區龍學里6鄰大德路70號,121.377512,24.943225
1436,新北市私立彩虹鳥蒙特梭利幼兒園,新北市永和區雙和里1鄰中和路377號2樓,新北市永和區雙和里1鄰中和路377號,121.508405,24.999911
1437,新北市私立勁寶兒晨星園幼兒園,新北市新莊區昌隆里2鄰昌隆街5號1、2樓、7號1、2樓、9號2樓,新北市新莊區昌隆里2鄰昌隆街5號,121.453947,25.050989
1438,新北市私立親親幼兒園,新北市永和區永樂里16鄰永和路一段112號2樓,新北市永和區永樂里16鄰永和路一段112號,121.513623,25.007349
1439,新北市私立菲米力幼兒園,新北市五股區民義里15鄰民義路一段120號2樓,新北市五股區民義里15鄰民義路一段120號,121.434901,25.085837
1440,新北市私立童話村幼兒園,新北市三峽區中正里23鄰光明路100之6號2樓,新北市三峽區中正里23鄰光明路100之6號,121.375998,24.92799
1441,新北市私立萬甲田幼兒園,新北市淡水區北投里2鄰新市一路3段101巷16弄1號1樓,新北市淡水區北投里2鄰新市一路三段101巷16弄1號,121.446291,25.183837
1442,新北市私立小綠芽幼兒園,新北市新店區百和里17鄰中正路382巷1號1樓,新北市新店區百和里17鄰中正路382巷1號,121.535014,24.977392
1443,新北市私立彤恩幼兒園,新北市土城區延和里9鄰金城路3段19號1、2樓,新北市土城區延和里9鄰金城路三段19號,121.464997,24.986491
1444,新北市私立民德義泉幼兒園,新北市中和區清穗里4鄰民德路198號1、2、3樓,新北市中和區清穗里4鄰民德路198號,121.468219,24.998726
1445,新北市私立比陽幼兒園,新北市泰山區福興里25鄰仁德路67號1、2樓,新北市泰山區福興里25鄰仁德路67號,121.434227,25.056673
1446,新北市私立維格爾幼兒園,新北市汐止區復興里2鄰新興路3號3樓之1,新北市汐止區復興里2鄰新興路3號,121.656395,25.065097
1447,新北市私立奇異鳥米蘭幼兒園,新北市樹林區樹福里10鄰長壽街15之5號2樓、15之6號1樓、15之7號1、2樓,新北市樹林區樹福里10鄰長壽街15之5號,121.423002,24.993355
1448,新北市私立悅欣幼兒園,新北市板橋區流芳里9鄰東門街30之2號1樓之60、61、62、63,新北市板橋區流芳里9鄰東門街30之2號,121.457959,25.008462
1449,新北市私立卓越幼兒園,新北市淡水區學府里2鄰水源街1段157號3樓,新北市淡水區學府里2鄰水源街一段157號,121.447897,25.171738
1450,新北市私立小百科幼兒園,新北市五股區成州里6鄰西雲路249號1樓,新北市五股區成州里6鄰西雲路249號,121.448987,25.097825
1451,新北市私立三和幼兒園,新北市三重區福樂里8鄰三和路4段123號1、2、3樓,新北市三重區福樂里8鄰三和路四段123號,121.484986,25.077779
1452,新北市私立愛林城堡幼兒園,新北市林口區麗林里30鄰公園路45號1、2、3樓,新北市林口區麗林里30鄰公園路45號,121.367253,25.068508
1453,新北市私立勵輝國際幼兒園,新北市新莊區頭前里5鄰頭前路26號2樓（2、3層）,新北市新莊區頭前里5鄰頭前路26號,121.467656,25.052575
1454,新北市私立快樂瑪麗安葳森幼兒園,新北市永和區豫溪里15鄰竹林路176號3樓,新北市永和區豫溪里15鄰竹林路176號,121.520354,25.009962
1455,新北市私立新豐幼兒園,新北市汐止區新昌里15鄰新昌路18號1樓,新北市汐止區新昌里15鄰新昌路18號,121.66207,25.067405
1456,新北市私立立強幼兒園,新北市汐止區北峰里14鄰民族三街56號,新北市汐止區北峰里14鄰民族三街56號,121.629036,25.06968
1457,新北市私立書樂幼兒園,新北市汐止區湖光里17鄰康寧街619號1樓、2樓、3樓,新北市汐止區湖光里16鄰康寧街619號,121.636413,25.071576
1458,新北市汐止區農會附設新北市私立汐農幼兒園,新北市汐止區江北里6鄰長江街39巷26號1樓、2樓,新北市汐止區江北里6鄰長江街39巷26號,121.65532,25.072323
1459,新北市私立超群幼兒園,新北市汐止區福山里2鄰民權街二段81巷3.5號1樓,新北市汐止區福山里5鄰民權街二段81巷26號,121.620504,25.047556
1460,財團法人新北市私立一信幼兒園,新北市淡水區油車里8鄰中正路一段63巷9號,新北市淡水區油車里8鄰中正路一段63巷9號,121.422856,25.177147
1461,新北市私立國花幼兒園,新北市淡水區新義里2鄰新生街51巷31弄1，3，5，7，9，11號,新北市淡水區新義里2鄰新生街51巷31弄12號,121.440977,25.176314
1462,台灣基督長老教會淡江學校財團法人新北市私立淡江高級中學附設新北市私立純德幼兒園,新北市淡水區文化里13鄰真理街26號,新北市淡水區文化里11鄰真理街26號,121.43583,25.175059
1463,新北市私立立仁幼兒園,新北市土城區裕生里37鄰樂利街5號1、2樓,新北市土城區裕生里37鄰樂利街5號,121.448408,24.986096
1464,新北市私立慈園幼兒園,新北市土城區樂利里32鄰學府路一段270巷4號,新北市土城區樂利里32鄰學府路一段270巷4號,121.45084,24.984494
1465,財團法人天主教聖母聖心會附設新北市私立天仁幼兒園,新北市金山區金美里17鄰中正路25號1樓,新北市金山區金美里17鄰中正路25號,121.635908,25.221889
1466,財團法人天主教光仁文教基金會附設新北市私立三芝幼兒園,新北市三芝區埔頭里22鄰長安街59號1，2樓,新北市三芝區埔頭里22鄰長安街59號,121.500862,25.256675
1467,育才學校財團法人新北市私立育才國民小學附設幼兒園,新北市永和區永貞里2鄰福和路125巷20號,新北市永和區永貞里2鄰福和路125巷20號,121.521642,25.007061
1468,新北市私立蘆洲來來幼兒園,新北市蘆洲區水湳里8鄰民權路156號1、2、3樓,新北市蘆洲區水湳里8鄰民權路156號,121.472384,25.09
1469,新北市私立福林幼兒園,新北市林口區麗園里17鄰文化一路1段100巷12號,新北市林口區麗園里17鄰文化一路一段100巷12號,121.373891,25.070556
1470,新北市私立新惠幼幼兒園,新北市永和區下溪里13鄰保安路252巷2號1.2樓,新北市永和區下溪里13鄰保安路252巷2號,121.506294,25.012747
1471,新北市私立欣園幼兒園,新北市新莊區中美里8鄰中港路207巷14號,新北市新莊區中美里8鄰中港路207巷14號,121.454026,25.041847
1472,新北市私立永錡幼兒園,新北市新莊區光華里2鄰民安西路410巷15號1.2樓,新北市新莊區光華里2鄰民安西路410巷15號,121.428223,25.008965
1473,新北市私立樺興幼兒園,新北市瑞芳區龍潭里8鄰瑞芳街21之1號1樓,新北市瑞芳區龍潭里8鄰瑞芳街21之1號,121.806904,25.109504
1474,財團法人新北市樹林基督長老教會附設新北市私立牧人幼兒園,新北市樹林區樹福里14鄰中山路一段2號1、2、3樓,新北市樹林區樹福里14鄰中山路一段2號,121.424073,24.994116
1475,新北市私立華菂幼兒園,新北市泰山區義仁里4鄰民生路20號,新北市泰山區義仁里4鄰民生路20號,121.430296,25.052481
1476,新北市私立微笑幼兒園,新北市林口區麗林里30鄰八德路18號1樓,新北市林口區麗林里30鄰八德路18號,121.368363,25.067451
1477,天億文教事業股份有限公司附設新北市私立皇家幼兒園,新北市新莊區中和里25鄰中和街46號,新北市新莊區中和里25鄰中和街46號,121.448165,25.044326
1478,新北市私立維多利亞幼兒園,新北市蘆洲區成功里7鄰長安街288號1、2樓,新北市蘆洲區成功里7鄰長安街288號,121.457372,25.087799
1479,新北市私立成功幼兒園,新北市新莊區南港里3鄰四維路20號1樓至3樓及後港二路9號1樓,新北市新莊區南港里3鄰四維路20號,121.423461,25.0242
