站名,lng,lat
市政府,121.567149,25.040903
市政府,121.567181,25.041263
永春,121.57512,25.040995
永春,121.575383,25.040704
永春,121.576155,25.040704
永春,121.576574,25.040699
永春,121.576622,25.040961
後山埤,121.58141,25.044422
後山埤,121.581854,25.043703
後山埤,121.583277,25.045232
後山埤,121.582441,25.045653
昆陽,121.592726,25.050319
昆陽,121.592825,25.050402
昆陽,121.59363,25.050599
昆陽,121.593799,25.050572
南港,121.606357,25.051911
南港,121.60743,25.052025
象山,121.569394,25.033025
象山,121.569809,25.032366
象山,121.570408,25.03302
台北101/世貿,121.561671,25.033107
台北101/世貿,121.561564,25.032733
台北101/世貿,121.563646,25.032742
台北101/世貿,121.564112,25.033034
台北101/世貿,121.563292,25.033102
信義安和,121.552602,25.033377
信義安和,121.552332,25.033032
信義安和,121.552582,25.032848
信義安和,121.553282,25.033022
信義安和,121.5534,25.033022
信義安和,121.553526,25.033326
大安森林公園,121.534442,25.033693
大安森林公園,121.534487,25.033391
大安森林公園,121.534882,25.033396
大安森林公園,121.535292,25.033391
大安森林公園,121.535989,25.033369
大安森林公園,121.535952,25.033654
輔大,121.435264,25.032932
輔大,121.435277,25.032315
輔大,121.436541,25.032776
輔大,121.43652,25.033175
新莊,121.452168,25.03615
新莊,121.4525,25.036014
頭前庄,121.460303,25.039844
頭前庄,121.460931,25.039068
頭前庄,121.462247,25.039853
頭前庄,121.462242,25.040485
先嗇宮,121.471319,25.046497
先嗇宮,121.471372,25.046094
先嗇宮,121.471801,25.046239
三重,121.483748,25.055303
三重,121.484451,25.055429
三重,121.485282,25.056134
菜寮,121.490673,25.05971
菜寮,121.491106,25.059287
菜寮,121.492111,25.060556
臺北橋,121.500281,25.062966
大橋頭,121.512319,25.06318
大橋頭,121.511543,25.063367
大橋頭,121.513258,25.063195
大橋頭,121.51344,25.063739
中山國小,121.526095,25.06284
中山國小,121.526148,25.062461
中山國小,121.527114,25.062476
中山國小,121.526835,25.062835
行天宮,121.533004,25.058316
行天宮,121.533342,25.058792
行天宮,121.533393,25.059868
行天宮,121.532991,25.060365
東門,121.527994,25.034157
東門,121.527565,25.03422
東門,121.527854,25.033676
東門,121.528879,25.033646
東門,121.529506,25.033564
東門,121.529957,25.033924
東門,121.529678,25.033962
東門,121.528965,25.034074
蘆洲,121.464565,25.091463
蘆洲,121.464597,25.091609
蘆洲,121.464425,25.091618
三民高中,121.472542,25.085494
三民高中,121.473739,25.085791
徐匯中學,121.47988,25.080303
徐匯中學,121.480583,25.080332
三和國中,121.486398,25.076586
三和國中,121.486752,25.076946
三重國小,121.496656,25.070536
迴龍,121.411264,25.021864
迴龍,121.41077,25.02118
迴龍,121.412482,25.022637
丹鳳,121.422282,25.029048
丹鳳,121.422615,25.028742
南京復興,121.542121,25.052625
南京復興,121.541863,25.051748
南京復興,121.543237,25.051719
南京復興,121.543237,25.051719
南京復興,121.544338,25.051727
南京復興,121.544908,25.052057
南京復興,121.543819,25.052018
南京復興,121.54447,25.052329
中山,121.520303,25.052414
中山,121.520306,25.052858
中山,121.521063,25.052382
中山,121.521154,25.052611
中山,121.519329,25.053037
中山,121.519007,25.052833
西門,121.507566,25.042137
西門,121.508435,25.041545
西門,121.508888,25.041789
西門,121.509006,25.042203
西門,121.508789,25.042935
西門,121.507602,25.042573
松江南京,121.532388,25.051842
松江南京,121.532875,25.051342
松江南京,121.53287,25.051085
松江南京,121.53324,25.051624
松江南京,121.534081,25.051882
松江南京,121.533727,25.052095
松江南京,121.533195,25.05247
松江南京,121.532826,25.05257
北門,121.509862,25.048737
北門,121.510506,25.049583
北門,121.510227,25.049943
台北小巨蛋,121.55153,25.051836
台北小巨蛋,121.550715,25.051571
台北小巨蛋,121.552549,25.05152
台北小巨蛋,121.552898,25.051534
台北小巨蛋,121.552069,25.051838
南京三民,121.563643,25.051517
南京三民,121.563073,25.051215
南京三民,121.564595,25.051328
南京三民,121.56471,25.051588
松山,121.577022,25.050171
松山,121.576244,25.050171
松山,121.577464,25.049799
松山,121.577971,25.049799
松山,121.57813,25.050557
十四張,121.527701,24.984467
秀朗橋,121.52574,24.990418
秀朗橋,121.5250505,24.9905493
景平,121.5165532,24.9919681
中和,121.4960519,25.0019806
橋和,121.4904608,25.0044131
中原,121.4841593,25.0084104
板新,121.4722124,25.0144914
板橋,121.464938,25.015105
板橋,121.464312,25.015502
新埔民生,121.466839,25.026125
幸福,121.460146,25.050126
幸福,121.460593,25.049545
新北產業園區,121.4599257,25.0615483
