pm_name,lng,lat,pm_location
芝山公園,121.53177643,25.102369308000004,至誠路一段、雨聲街交叉口
花卉試驗中心,121.54441064313797,25.13501543281401,臺北市士林區仰德大道4段175巷32號
前港公園,121.52015559999998,25.0860629,臺北市士林區前港街與華齡街交叉口
後港公園,121.514454,25.093237,承德路五段78號旁（度量衡檢定所旁）
美崙公園,121.51721954,25.097379684,臺北市士林區美崙街152巷
原住民文化主題公園,121.55075073,25.101570129,臺北市士林區至善路2段221號旁
海光公園,121.50788116,25.081850052,臺北市士林區環河北路三段與葫蘆街交口
基河公園,121.52401733,25.080039978,基河路14號對面
華聲公園,121.52249146,25.095979691,華聲街20號對面
華齡公園,121.52316284,25.084049225,承德路，後港街間
新佳公園,121.5194931,25.098630905,文昌路179巷12號對面
福中公園,121.51883698,25.087919235,福港街107巷百齡國小附近
福志公園,121.53405762,25.099050522,臺北市士林區忠勇街40巷20弄底
福林公園,121.52947235,25.0958004,中山北路與福林路交叉口
福華公園,121.5189218,25.0821799,通河街325巷北側
福順公園,121.51113129,25.082349777,延平北路5段136巷內
翠山公園,121.56995,25.10845,中央社區翠山街與中社路二段口
德仁公園,121.52146149,25.102659225,文林路714巷內
德行公園,121.52365112,25.105110168000003,德行西路30號仰德活動中心旁
衛理兒童遊樂場,121.55330658,25.102329254,衛理女中宿舍邊(原為衛理公園)
磺溪公園,121.52062988,25.104879379,德行西路93巷底
雙溪公園,121.53591919,25.098039627,福林路至善路口東南側
蘭雅一號公園,121.5291121,25.1099324,臺北市士林區忠誠路2段24號旁
蘭雅公園,121.529919,25.109744,臺北市士林區忠誠路2段32巷旁
蘭興公園,121.52317047,25.110340118000003,臺北市士林區克強路10巷底
209號綠地,121.52806854,25.092599869,中山北路五段東側5米綠帶(原203號公園區段徵收)
士林116號綠地,121.51360321,25.096460342,承德路五段
士林117號綠地,121.51390076,25.09703064,承德路五段
士林118號綠地,121.51946259,25.093179703,基隆河廢河道，中正路北側
士林120號綠地,121.52044678,25.09305954,基隆河廢河道，中正路南側
士林121號綠地,121.51580811,25.092269897,承德路五段
士林128號綠地,121.5223465,25.084669113,前港街10號前
士林130號綠地,121.50258636,25.089599609,延平北路六段271-1號
士林131號綠地,121.50559235,25.090789795,"永平街46巷1弄,3弄間"
士林132號綠地,121.50682068,25.090660095,延平北路六段110巷
士林136號綠地,121.51091003,25.086910248,百齡橋西側引道三角綠地
士林139號綠地,121.50940704,25.084869385,延平北路五段257巷41號前
士林151號綠地,121.54843903,25.095760345,自強隧道綠地
士林156號綠地,121.554827,25.103392000000003,至善國中邊
士林179號綠地,121.52942657,25.104330063000003,芝山公園石頭公廟綠地
士林197號綠地,121.558964,25.136188,永公路245巷34弄
士林198號綠地,121.55392,25.141013,中庸一路205巷底
士林199號綠地,121.55845642,25.140520096,永公路245巷34弄西側
士林200號綠地,121.56166840000002,25.136980057,永公路245巷34弄東側
士林201號綠地,121.56066895,25.133640289,永公路245巷34弄西側(往閻錫山墓園小路兩旁)
士林206綠地(番仔田綠地),121.54802704,25.097959518000003,故宮路15巷底
士林207綠地(番仔田小綠地),121.54839325,25.096759796,故宮路41巷底
士林208號綠地,121.5337677,25.097330093000004,"福林路,泰北中學旁"
士林4號綠地,121.54627228,25.136880875,凱旋路與格致路交叉口
士林68號綠地,121.53643036,25.099069595,福林路、至善路交叉口綠地
士林73號天美綠地,121.52597046,25.121599197,天母西路95巷
士林75號綠地,121.529441,25.123203,天玉街圓環
士林76號綠地,121.532776,25.124725,天母派出所前圓環 (中山北路6段底)
士林79號綠地,121.52677917,25.115579605,中山北路六段405巷21號前.
